TRIAL NAME	p5eppendorf9cm2									
TRIAL NOTES	Using the amount Curt used for his results.  I'll send him the raw data to work up himself.									
TRIAL DATE	3:15:16.525 PM 8/5/2021									
GRID TYPE	3x3 Grid									
 										
Subject ID	Site ID	Site Label	Site Type	Subsite	Attenuation	PMT HV(Volts)	Scan Time	Completed	Filter Index	290 nm	292 nm	294 nm	296 nm	298 nm	300 nm	302 nm	304 nm	306 nm	308 nm	310 nm	312 nm	314 nm	316 nm	318 nm	320 nm	322 nm	324 nm	326 nm	328 nm	330 nm	332 nm	334 nm	336 nm	338 nm	340 nm	342 nm	344 nm	346 nm	348 nm	350 nm	352 nm	354 nm	356 nm	358 nm	360 nm	362 nm	364 nm	366 nm	368 nm	370 nm	372 nm	374 nm	376 nm	378 nm	380 nm	382 nm	384 nm	386 nm	388 nm	390 nm	392 nm	394 nm	396 nm	398 nm	400 nm
Christopher	Site  1	P5_1	Unprotected	SS 01	NaN	410.00	3:18:05.747 PM 8/5/2021	TRUE	4	0.00000000049	0.00000000059	0.00000000098	0.00000000257	0.00000000697	0.00000001640	0.00000003290	0.00000005773	0.00000009149	0.00000013692	0.00000018578	0.00000023915	0.00000029616	0.00000035623	0.00000043608	0.00000052310	0.00000061880	0.00000072709	0.00000086052	0.00000098167	0.00000111861	0.00000120946	0.00000130085	0.00000138750	0.00000144359	0.00000147485	0.00000149623	0.00000150877	0.00000151319	0.00000156302	0.00000161382	0.00000167904	0.00000175435	0.00000182109	0.00000186232	0.00000185145	0.00000180399	0.00000170140	0.00000163168	0.00000150253	0.00000144770	0.00000143923	0.00000152404	0.00000169338	0.00000189970	0.00000213676	0.00000237609	0.00000262043	0.00000290554	0.00000325832	0.00000366163	0.00000405867	0.00000441083	0.00000462906	0.00000482185	0.00000488357
Christopher	Site  1	P5_1	Unprotected	SS 02	NaN	410.00	3:18:31.012 PM 8/5/2021	TRUE	4	0.00000000040	0.00000000048	0.00000000083	0.00000000220	0.00000000604	0.00000001437	0.00000002980	0.00000005251	0.00000008536	0.00000012903	0.00000017435	0.00000022533	0.00000028341	0.00000034894	0.00000042711	0.00000052357	0.00000061872	0.00000073462	0.00000086316	0.00000099230	0.00000112423	0.00000124638	0.00000134530	0.00000144076	0.00000147498	0.00000153019	0.00000156633	0.00000157350	0.00000160535	0.00000165055	0.00000170181	0.00000175494	0.00000184164	0.00000194572	0.00000196801	0.00000197465	0.00000190761	0.00000181957	0.00000170060	0.00000162266	0.00000154845	0.00000155839	0.00000163217	0.00000178839	0.00000204988	0.00000224908	0.00000253384	0.00000276662	0.00000309705	0.00000345282	0.00000379865	0.00000421107	0.00000452517	0.00000478295	0.00000493370	0.00000495064
Christopher	Site  1	P5_1	Unprotected	SS 03	NaN	410.00	3:18:56.110 PM 8/5/2021	TRUE	4	0.00000000082	0.00000000091	0.00000000125	0.00000000254	0.00000000613	0.00000001432	0.00000002905	0.00000005105	0.00000008393	0.00000012828	0.00000017818	0.00000023511	0.00000029758	0.00000036810	0.00000045715	0.00000056860	0.00000068845	0.00000081062	0.00000096306	0.00000110860	0.00000127579	0.00000141652	0.00000153580	0.00000164730	0.00000168449	0.00000174667	0.00000178292	0.00000179177	0.00000183305	0.00000186727	0.00000195188	0.00000202015	0.00000211137	0.00000219831	0.00000225799	0.00000224743	0.00000219048	0.00000207385	0.00000194101	0.00000181927	0.00000171987	0.00000171086	0.00000183145	0.00000198819	0.00000224287	0.00000251014	0.00000276398	0.00000302079	0.00000333275	0.00000360203	0.00000401844	0.00000437258	0.00000465635	0.00000487039	0.00000505220	0.00000500671
Christopher	Site  1	P5_1	Unprotected	SS 04	NaN	410.00	3:19:19.809 PM 8/5/2021	TRUE	4	0.00000000058	0.00000000068	0.00000000119	0.00000000315	0.00000000866	0.00000002081	0.00000004219	0.00000007280	0.00000012187	0.00000017526	0.00000023856	0.00000031282	0.00000038786	0.00000047064	0.00000057849	0.00000069721	0.00000082131	0.00000096262	0.00000112828	0.00000129159	0.00000146501	0.00000160542	0.00000173047	0.00000181934	0.00000189743	0.00000191101	0.00000198034	0.00000196471	0.00000200477	0.00000205288	0.00000209535	0.00000218268	0.00000226898	0.00000239218	0.00000242574	0.00000238990	0.00000233292	0.00000221113	0.00000208810	0.00000192911	0.00000182850	0.00000181883	0.00000191305	0.00000209473	0.00000234795	0.00000260503	0.00000286580	0.00000310790	0.00000338292	0.00000375647	0.00000407723	0.00000443318	0.00000469566	0.00000485261	0.00000503347	0.00000502733
Christopher	Site  1	P5_1	Unprotected	SS 05	NaN	410.00	3:19:44.091 PM 8/5/2021	TRUE	4	0.00000000044	0.00000000055	0.00000000101	0.00000000280	0.00000000765	0.00000001843	0.00000003753	0.00000006688	0.00000010965	0.00000016044	0.00000022032	0.00000028728	0.00000036262	0.00000043787	0.00000053971	0.00000066250	0.00000079182	0.00000093334	0.00000108557	0.00000123331	0.00000140238	0.00000154584	0.00000167370	0.00000177021	0.00000183559	0.00000187552	0.00000190425	0.00000191701	0.00000195477	0.00000195864	0.00000202396	0.00000210471	0.00000219079	0.00000227922	0.00000235904	0.00000229832	0.00000222502	0.00000212076	0.00000197019	0.00000183963	0.00000174645	0.00000173400	0.00000184110	0.00000200505	0.00000222821	0.00000249629	0.00000275392	0.00000298446	0.00000327229	0.00000356101	0.00000387483	0.00000420407	0.00000444801	0.00000465550	0.00000475581	0.00000474375
Christopher	Site  1	P5_1	Unprotected	SS 06	NaN	410.00	3:20:11.748 PM 8/5/2021	TRUE	4	0.00000000056	0.00000000070	0.00000000129	0.00000000353	0.00000000952	0.00000002243	0.00000004599	0.00000007894	0.00000013026	0.00000018665	0.00000025640	0.00000033692	0.00000041482	0.00000050746	0.00000062075	0.00000074655	0.00000088337	0.00000104280	0.00000121618	0.00000139670	0.00000157641	0.00000174463	0.00000185465	0.00000196269	0.00000206883	0.00000208208	0.00000211320	0.00000215078	0.00000216719	0.00000219426	0.00000224423	0.00000231643	0.00000242386	0.00000252963	0.00000257063	0.00000252139	0.00000245425	0.00000230652	0.00000215215	0.00000201847	0.00000191615	0.00000187763	0.00000195553	0.00000215711	0.00000240812	0.00000269218	0.00000293199	0.00000318280	0.00000346330	0.00000376202	0.00000409054	0.00000437644	0.00000467073	0.00000488260	0.00000504273	0.00000493928
Christopher	Site  1	P5_1	Unprotected	SS 07	NaN	410.00	3:20:37.195 PM 8/5/2021	TRUE	4	0.00000000060	0.00000000075	0.00000000140	0.00000000384	0.00000001075	0.00000002592	0.00000005180	0.00000009037	0.00000014834	0.00000021379	0.00000029127	0.00000037168	0.00000046063	0.00000055286	0.00000066355	0.00000080365	0.00000093401	0.00000109013	0.00000125394	0.00000144151	0.00000161736	0.00000174375	0.00000187495	0.00000197070	0.00000201324	0.00000208439	0.00000209706	0.00000211039	0.00000214070	0.00000215529	0.00000221458	0.00000230650	0.00000241684	0.00000248960	0.00000257215	0.00000250809	0.00000243796	0.00000229918	0.00000215436	0.00000199450	0.00000188649	0.00000187240	0.00000195090	0.00000213225	0.00000239257	0.00000266558	0.00000291754	0.00000316900	0.00000339913	0.00000371953	0.00000399657	0.00000433378	0.00000454543	0.00000473156	0.00000482831	0.00000480598
Christopher	Site  1	P5_1	Unprotected	SS 08	NaN	410.00	3:21:04.197 PM 8/5/2021	TRUE	4	0.00000000054	0.00000000064	0.00000000119	0.00000000331	0.00000000939	0.00000002294	0.00000004808	0.00000008469	0.00000013938	0.00000020644	0.00000028159	0.00000036348	0.00000044840	0.00000054329	0.00000066425	0.00000079732	0.00000094400	0.00000110119	0.00000127510	0.00000147607	0.00000164283	0.00000179341	0.00000194072	0.00000202306	0.00000210469	0.00000214131	0.00000217333	0.00000219213	0.00000220060	0.00000225907	0.00000230413	0.00000240287	0.00000248501	0.00000258131	0.00000263290	0.00000260912	0.00000253029	0.00000237285	0.00000221858	0.00000204354	0.00000195002	0.00000193060	0.00000203162	0.00000220639	0.00000245939	0.00000274696	0.00000299235	0.00000329173	0.00000354218	0.00000387671	0.00000420766	0.00000450081	0.00000484762	0.00000499317	0.00000508707	0.00000511009
Christopher	Site  1	P5_1	Unprotected	SS 09	NaN	410.00	3:21:33.939 PM 8/5/2021	TRUE	4	0.00000000055	0.00000000068	0.00000000129	0.00000000358	0.00000001000	0.00000002408	0.00000004929	0.00000008618	0.00000014041	0.00000020520	0.00000027992	0.00000036402	0.00000044355	0.00000053642	0.00000065280	0.00000078401	0.00000093203	0.00000108400	0.00000126567	0.00000144376	0.00000160795	0.00000173946	0.00000189974	0.00000194728	0.00000205249	0.00000211479	0.00000209928	0.00000212039	0.00000213541	0.00000218412	0.00000223283	0.00000231048	0.00000241149	0.00000248776	0.00000251332	0.00000252753	0.00000243346	0.00000230445	0.00000213635	0.00000196667	0.00000186988	0.00000185413	0.00000192392	0.00000212258	0.00000235433	0.00000262451	0.00000289050	0.00000313811	0.00000342472	0.00000370024	0.00000395339	0.00000425175	0.00000452943	0.00000473976	0.00000480567	0.00000479657
Christopher	Site  2	P5_2	Unprotected	SS 01	NaN	410.00	3:22:03.293 PM 8/5/2021	TRUE	4	0.00000000028	0.00000000043	0.00000000113	0.00000000387	0.00000001157	0.00000002885	0.00000005984	0.00000010747	0.00000017175	0.00000024866	0.00000033467	0.00000043625	0.00000053579	0.00000064157	0.00000077072	0.00000092444	0.00000108701	0.00000126689	0.00000145243	0.00000163989	0.00000183430	0.00000202262	0.00000216378	0.00000226016	0.00000232548	0.00000236168	0.00000238665	0.00000238914	0.00000241162	0.00000243552	0.00000249121	0.00000256838	0.00000267807	0.00000276904	0.00000283726	0.00000280996	0.00000268851	0.00000253134	0.00000235139	0.00000218501	0.00000204697	0.00000202539	0.00000211904	0.00000233022	0.00000257437	0.00000282549	0.00000310387	0.00000339261	0.00000359204	0.00000390946	0.00000417664	0.00000447511	0.00000468010	0.00000487466	0.00000502628	0.00000501098
